timestamp,hour,day_of_week,is_weekend,month,zone_id,zone_type,latitude,longitude,category,subtype,severity,season,weather,temperature,humidity,is_event,is_holiday,holiday_name,holiday_type,pop_density,crowd_level,lighting_score,cctv_density,police_presence
2024-01-01 00:00:00,0,0,0,1,lt_road_commercial,commercial,19.227369,72.851677,property,shoplifting,2,winter,clear,11.6,69.3,0,1,New Year,regional,38000,1.25,0.9,0.68,0.65
2024-01-01 00:00:00,0,0,0,1,lt_road_commercial,commercial,19.22786,72.852692,property,burglary,2,winter,clear,11.6,69.3,0,1,New Year,regional,38000,1.25,0.9,0.68,0.65
2024-01-01 00:00:00,0,0,0,1,yogi_nagar,mixed,19.235722,72.846542,property,robbery,2,winter,clear,11.6,69.3,0,1,New Year,regional,29000,0.9,0.8,0.68,0.7
2024-01-01 00:00:00,0,0,0,1,chikuwadi_commercial,commercial,19.229465,72.838906,victimless,drug_use,1,winter,clear,11.6,69.3,0,1,New Year,regional,44000,1.28,0.82,0.62,0.64
2024-01-01 00:00:00,0,0,0,1,Poisar_mixed,mixed,19.210179,72.852447,property,vandalism,2,winter,clear,11.6,69.3,0,1,New Year,regional,27000,1.05,0.86,0.71,0.72
2024-01-01 01:00:00,1,0,0,1,Prem_nagar,residential,19.237655,72.852533,property,vandalism,2,winter,clear,18.8,66.4,0,1,New Year,regional,29000,0.78,0.8,0.76,0.74
2024-01-01 01:00:00,1,0,0,1,daulat_nagar,residential,19.234728,72.860978,violent,sexual_assault,4,winter,clear,18.8,66.4,0,1,New Year,regional,30000,0.79,0.78,0.73,0.7
2024-01-01 01:00:00,1,0,0,1,devipada,slum,19.224267,72.867856,violent,aggravated_assault,4,winter,clear,18.8,66.4,0,1,New Year,regional,62000,1.28,0.38,0.18,0.42
2024-01-01 01:00:00,1,0,0,1,devipada,slum,19.22648,72.866354,victimless,public_intoxication,1,winter,clear,18.8,66.4,0,1,New Year,regional,62000,1.28,0.38,0.18,0.42
2024-01-01 01:00:00,1,0,0,1,sodawala_lane,commercial,19.235013,72.853677,property,shoplifting,2,winter,clear,18.8,66.4,0,1,New Year,regional,39000,1.19,0.81,0.64,0.65
2024-01-01 01:00:00,1,0,0,1,Charkop_market,residential,19.216784,72.829168,property,robbery,2,winter,clear,18.8,66.4,0,1,New Year,regional,32000,0.83,0.77,0.72,0.69
2024-01-01 02:00:00,2,0,0,1,Kajupada_slum,slum,19.235886,72.869947,victimless,drug_use,1,winter,rain,5.2,94.9,0,1,New Year,regional,65000,1.3,0.35,0.15,0.4
2024-01-01 02:00:00,2,0,0,1,Babhai_Naka,mixed,19.227099,72.846188,property,shoplifting,2,winter,rain,5.2,94.9,0,1,New Year,regional,25000,1.15,0.9,0.75,0.77
2024-01-01 02:00:00,2,0,0,1,sodawala_lane,commercial,19.236617,72.852791,white_collar,forgery,2,winter,rain,5.2,94.9,0,1,New Year,regional,39000,1.19,0.81,0.64,0.65
2024-01-01 03:00:00,3,0,0,1,Kajupada_slum,slum,19.235869,72.871545,violent,sexual_assault,4,winter,clear,18.1,48.7,0,1,New Year,regional,65000,1.3,0.35,0.15,0.4
2024-01-01 03:00:00,3,0,0,1,Kajupada_slum,slum,19.235548,72.871686,organized,drug_trafficking,3,winter,clear,18.1,48.7,0,1,New Year,regional,65000,1.3,0.35,0.15,0.4
2024-01-01 03:00:00,3,0,0,1,sky_city_oberoi,residential,19.222897,72.865215,property,vandalism,2,winter,clear,18.1,48.7,0,1,New Year,regional,31000,0.82,0.81,0.78,0.76
2024-01-01 03:00:00,3,0,0,1,Babhai_Naka,mixed,19.226115,72.84698,victimless,illegal_gambling,1,winter,clear,18.1,48.7,0,1,New Year,regional,25000,1.15,0.9,0.75,0.77
2024-01-01 03:00:00,3,0,0,1,chikuwadi_commercial,commercial,19.228826,72.84031,property,shoplifting,2,winter,clear,18.1,48.7,0,1,New Year,regional,44000,1.28,0.82,0.62,0.64
2024-01-01 03:00:00,3,0,0,1,devipada,slum,19.227194,72.86419,property,burglary,2,winter,clear,18.1,48.7,0,1,New Year,regional,62000,1.28,0.38,0.18,0.42
2024-01-01 04:00:00,4,0,0,1,Gorai_Depot,transport,19.231861,72.830363,organized,drug_trafficking,3,winter,clear,17.2,47.9,0,1,New Year,regional,45000,1.35,0.85,0.75,0.7
